Station,Comments,Time (hh:mm),Time (mm),Reading 1,Reading 2,Reading 3,Reading 4,Average Reading,Standard Deviation,Relative Gravitational Field (mGal),Uncorrected Gravitational Anomaly in Relation to Reference Station (mGal),Temporal Variations (mGal),Instrumental and Attraction Derivation (mGal),Latitude Correction (m),Elevation in Relation to Reference Station (m),Altitude in Relation to Average Sea Level (m),Free Air Correction (mGal),Bouguer Correction (mGal),Bouguer Relative Gravitational Field (mGal),Bouguer Anomaly in Relation to Reference Station (mGal),Regional Anomaly (mGal),Residual Anomaly (mGal),Purpose,Area,POI,Address,Date of Survey,Operation Temperature (F)
,,730.13407849,0.466137895000088,,,,0.010133433333294,40,0.001688905555549,,0.010133433333294,0.022969115555573,40,-0.026867255756697,,0.037106061956934,0.009833334684207,,80,0.109090909090909,,,,,,,,
,,729.9415432725,0.658673112499969,,,,,60,0.002533358333324,,,0.03445367333336,60,-0.040300883635045,,-0.072952190586193,-0.127497645131648,,100,0.136363636363636,,,,,,,,
,,730.05301103,0.547205355000074,,,,12,80,0.003377811111098,,15,0.045938231111146,80,-0.053734511513393,,-0.039124323129333,-0.120942504947515,,120,0.163636363636364,,,,,,,,
,,730.0226107325,0.577605652499983,,,,,100,0.004222263888873,,,0.057422788888933,100,-0.067168139391741,,0.009463113327681,-0.099627795763228,,140,0.190909090909091,,,,,,,,
,,729.4146047825,1.18561160249999,,,,,120,0.005066716666647,,,0.06890734666672,120,-0.08060176727009,,0.179457640784488,0.043094004420852,,160,0.218181818181818,,,,,,,,
,,729.2018027,1.39841368500004,,,,,140,0.005911169444422,,,0.080391904444506,140,-0.094035395148438,,0.164326767241452,0.000690403605088,,180,0.245454545454545,,,,,,,,
,,729.2018027,1.39841368500004,,,,,160,0.006755622222196,,,0.091876462222293,160,-0.107469023026786,,-0.084014802801803,-0.274923893710894,,200,0.272727272727273,,,,,,,,
,,729.2018027,1.39841368500004,,,,,180,0.007600074999971,,,0.103361020000079,180,-0.120902650905134,,-0.26532597644763,-0.483507794629448,,220,0.3,,,,,,,,
,,729.28287016,1.31734622500005,,,,,200,0.008444527777745,,,0.114845577777866,200,-0.134336278783483,,-0.29601748738789,-0.541472032842435,,0,0,,,,,,,,
,,730.6103498175,-0.01013343249997,,,,0.000844452777775,220,0.00928898055552,,,0.126330135555653,220,-0.147769906661831,,-0.285323351431001,-0.558050624158274,,,,,,,,,,,
,,,,,,,0.010133433333294,0,0.010133433333294,,,0.137814693333439,240,-0.161203534540179,,-0.234739427474215,-0.534739427474215,,,,,,,,,,,
,,,,,,,,,,,,0.149299251111226,260,-0.174637162418527,,0,0,,,,,,,,,,,
,,,,,,,,,,,,0.160783808889012,280,-0.188070790296876,,,,,,,,,,,,,,
,,,,,,,,,,,,0.172268366666799,300,-0.201504418175224,,,,,,,,,,,,,,
,,,,,,,,,,,,0.183752924444586,320,-0.214938046053572,,,,,,,, ,,,,,,
,,,,,,,,,,,,,340,-0.22837167393192,,,,,,,, ,,,,,,
,,,,,,,,,,,,,360,-0.241805301810269,,,,,,,, ,,,,,,
,,,,,,,,,,,,-0.135112444449223,380,-0.255238929688617,,,,,,,, ,,,,,,
,,,,,,,,,,,,,400,-0.268672557566965,,,,,,,,,,,,,,
,,,,,,,,,,,,,420,-0.282106185445313,,,,,,,,,,,,,,
,,,,,,,,,,,,,440,-0.295539813323662,,,,,,,,,,,,,,
,,,,,,,,,,,,,460,-0.30897344120201,,,,,,,,,,,,,,
,,,,,,,,,,,,,480,-0.322407069080358,,,,,,,,,,,,,,
,,,,,,,,,,,,,500,-0.335840696958706,,,,,,,,,,,,,,
